plr,pv,dt
0.25,0,3294
0.5,0,1369
0.75,0,966
1,0,762
0.25,0.2,6831
0.5,0.2,1963
0.75,0.2,1257
1,0.2,938
0.25,0.4,
0.5,0.4,3465
0.75,0.4,1797
1,0.4,1217
0.25,0.6,
0.5,0.6,14089
0.75,0.6,3149
1,0.6,1737
0.25,0.8,
0.5,0.8,
0.75,0.8,12710
1,0.8,3025
